자치구,행정동_x,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
성북구,보문동,11290610,11556973.427475,764023.5176499999,834293.6981500001,2023162.3888416665,1785521.920025,1649223.79715,1813549.046675,1315752.584108333,1371446.47085,3011,1713,1321,877,196,21,8,5.583333333333333,880.0833333333334,848.0833333333334,2406.1666666666665,2361.4166666666665,2156.1666666666665,2305.083333333333,1778.9166666666667,978.5833333333334,424.3333333333333,54.333333333333336,보문동,24.0,117.0,60.0,170.0,1803.0,464.0
성북구,정릉1동,11290620,10570540.332408331,985478.5176166669,1195831.560133333,1207869.547325,1425380.0577666666,1823087.2039166668,1534825.7632916663,1094474.8326,1303592.8423666668,1819,1800,1706,1354,294,63,15,4.25,1277.4166666666667,1596.5,2079.75,2368.25,2883.9166666666665,2610.9166666666665,2085.25,1257.4166666666667,583.9166666666666,73.75,정릉1동,0.0,24.0,96.0,180.0,2810.0,808.0
성북구,정릉2동,11290630,14962450.3125,1263845.372925,1354089.4271166667,2004274.7392083327,2112676.288491667,2306002.5222750003,2167280.6419,1788940.480758333,1965340.8479666663,2284,2593,2116,1509,359,78,18,5.666666666666667,1329.6666666666667,1667.5,2955.1666666666665,2838.6666666666665,3218.4166666666665,3441.9166666666665,3121.75,1803.25,765.0,104.66666666666669,정릉2동,0.0,24.0,21.0,37.0,1057.0,252.0
성북구,정릉3동,11290640,10978805.759908332,546903.820625,1022965.9027333332,2844530.0938833333,1363429.356575,1320528.6195833334,1392789.692,1119720.4510833337,1367937.8237,3255,1852,1103,735,199,32,12,3.583333333333333,525.75,859.0833333333334,2821.75,1692.5,1690.9166666666667,2148.583333333333,2077.583333333333,1324.75,645.9166666666666,97.75,정릉3동,0.0,0.0,24.0,195.0,1223.0,367.0
성북구,정릉4동,11290650,13682105.996183334,1001162.6781833334,1289677.19235,1803308.515025,1786043.2754,2158625.992791666,1882706.7919083333,1744033.7095166668,2016547.8505416668,2659,2837,2245,1647,383,76,18,7.333333333333333,1421.8333333333333,1927.0,2984.9166666666665,2863.1666666666665,3765.3333333333335,3818.75,3333.1666666666665,1958.6666666666667,817.75,124.41666666666669,정릉4동,0.0,12.0,42.0,161.0,1122.0,196.0
성북구,길음1동,11290660,25843970.07239167,3725651.5805833335,3840436.586183333,2319169.228191667,3017081.9773,4870697.002008333,3249983.381125,2182421.6543833334,2638528.647266667,1721,2694,3298,3380,627,108,22,7.583333333333333,3460.25,4496.75,3118.25,4040.0,7142.25,4653.25,3051.083333333333,1889.9166666666667,774.0,112.33333333333331,길음1동,12.0,12.0,216.0,199.0,2125.0,1012.0
성북구,길음2동,11290685,12053664.577141669,883103.6874333333,1185647.1939666667,1401899.354775,1670391.7461416663,2075556.7461416663,1862932.926975,1392446.2497333332,1581686.6702916666,1666,1664,1564,1174,270,51,12,4.833333333333333,1300.9166666666667,1311.1666666666667,1874.8333333333333,2218.083333333333,2642.25,2529.083333333333,1954.25,1003.5833333333334,409.1666666666667,54.583333333333336,길음2동,0.0,0.0,92.0,111.0,985.0,437.0
성북구,종암동,11290705,28510077.889891665,2106130.184225,2882465.9468166665,4609028.8188,3848087.533825,4276118.415708333,4189020.713083334,3007597.4618583336,3591628.826758333,5568,3939,3316,2693,604,116,32,13.333333333333334,2360.9166666666665,3323.6666666666665,5193.333333333333,4669.75,5769.666666666667,5799.916666666667,4500.083333333333,2628.583333333333,1378.0,214.58333333333331,종암동,12.0,36.0,108.0,323.0,3167.0,864.0
성북구,월곡1동,11290715,17076054.397916667,1817847.0765916668,2038785.3378583333,1947061.2045333327,2275284.734716667,2697618.774225,2410611.592308333,1820579.1172583331,2068266.5491083327,2454,2649,2383,1934,454,95,20,4.0,1819.3333333333333,2358.25,2787.4166666666665,3245.5,4132.0,3875.3333333333335,3329.0,1948.0,793.8333333333334,94.66666666666669,월곡1동,0.0,84.0,159.0,256.0,2896.0,938.0
성북구,월곡2동,11290725,16971228.998533335,1271494.1158416667,1472277.5518916666,2887809.639408333,2505596.657991667,2468045.2091416665,2502795.394725,1918361.8923666663,1944848.5361666668,3767,2175,1523,1139,286,57,15,4.333333333333333,948.3333333333334,1329.5833333333333,3201.083333333333,2486.9166666666665,2553.6666666666665,2756.6666666666665,2503.6666666666665,1464.75,650.0833333333334,88.33333333333333,월곡2동,0.0,12.0,36.0,154.0,2171.0,666.0
