행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,총생활인구수,연령대0_생활인구,연령대10_생활인구,연령대20_생활인구,연령대30_생활인구,연령대40_생활인구,연령대50_생활인구,연령대60_생활인구,연령대70이상_생활인구
11710720,2021,10,4.0,544.0,972.0,1237.0,949.0,1311.0,1669.0,1495.0,900.0,427.0,71.0,7373558.385699999,513782.1162,856158.5889,789837.9215,970980.5072,1190937.4644,1069767.334,919034.3446,1063060.1042
11710720,2021,11,4.0,551.0,962.0,1233.0,946.0,1308.0,1663.0,1494.0,905.0,426.0,75.0,7154198.6503,472040.4164,831635.5496,785563.5175,956093.3214,1153455.7768,1045423.0859,880542.4989,1029444.456
11710720,2021,12,3.0,546.0,961.0,1225.0,934.0,1300.0,1676.0,1480.0,916.0,432.0,77.0,7342958.579799999,484475.8926,834873.4797,779718.6543,966647.6309,1199018.9876,1093328.5225,899768.7611,1085126.6799
11740515,2021,1,15.0,3222.0,4749.0,4472.0,4667.0,6258.0,5607.0,4671.0,2446.0,1038.0,185.0,35130860.6793,4059004.7304,4512545.4897,3385908.5374,5172986.8784,6174629.5157,4681677.3811,3661902.6531,3482205.4939
11740515,2021,2,15.0,3487.0,4860.0,4617.0,5106.0,6513.0,5725.0,4886.0,2558.0,1068.0,201.0,31804705.2875,3601398.8487,3957092.3353,3092406.1851,4759549.4732,5604395.7403,4238221.4095,3347373.7417,3204267.5744
11740515,2021,4,9.0,3902.0,4920.0,4848.0,5920.0,6745.0,5919.0,5169.0,2677.0,1085.0,217.0,35522339.6581,3986065.586,4132939.2674,3383864.2984,5730427.1242,6345766.2885,4677236.6099,3721533.3724,3544507.0627
11740515,2021,5,9.0,3918.0,4917.0,4858.0,5939.0,6784.0,5990.0,5259.0,2721.0,1101.0,218.0,35702202.6096,3899468.1741,4121933.6015,3398042.0408,5849763.233,6369729.1292,4663962.4772,3806384.5812,3592919.3952
11740515,2021,6,9.0,3906.0,4931.0,4865.0,5962.0,6799.0,6008.0,5339.0,2730.0,1106.0,226.0,31974587.6386,3559931.0502,3715620.4607,3069685.8187,5291643.6879,5678480.8866,4131789.8762,3354887.8851,3172547.9663
11740515,2021,7,5.0,3047.0,3637.0,3614.0,4691.0,5301.0,4556.0,4414.0,2144.0,821.0,172.0,33212878.3834,3600091.5251,3907957.4533,3257222.2133,5469731.2534,5872572.9427,4320509.8527,3476513.5866,3308279.545
11740515,2021,8,5.0,3020.0,3618.0,3590.0,4686.0,5284.0,4576.0,4432.0,2148.0,828.0,173.0,33432433.1463,3639571.6356,3943189.5425,3309576.2529,5467480.002,5850372.0393,4383279.4216,3485207.401,3353756.8345
11740515,2021,9,5.0,3017.0,3624.0,3600.0,4676.0,5299.0,4636.0,4473.0,2174.0,834.0,170.0,32797368.2693,3588355.1534,3818916.2529,3230869.4495,5319924.4023,5780361.6863,4325506.5951000005,3436692.1997,3296742.4972
11740515,2021,10,5.0,3021.0,3617.0,3581.0,4649.0,5315.0,4670.0,4499.0,2192.0,841.0,168.0,33915010.7594,3752627.7731,3996845.1755,3288722.4252,5559578.8284,6002788.6648,4408077.7496,3497704.9188,3408665.2071
11740515,2021,11,5.0,3020.0,3637.0,3581.0,4652.0,5329.0,4706.0,4563.0,2202.0,858.0,166.0,33423981.0183,3741898.937,3952343.468,3165805.8454,5435475.3778,5904688.7819,4390030.3275,3469307.4969,3364430.7284
11740515,2021,12,5.0,3006.0,3651.0,3574.0,4627.0,5353.0,4719.0,4612.0,2211.0,869.0,167.0,39439094.5596,4411812.8831,4715595.8132,3736764.9753,6188652.9988,6954050.3685,5195790.6356,4147981.1901,4088445.7113
11740520,2021,1,6.0,4322.0,3456.0,3649.0,5471.0,6158.0,4867.0,4162.0,1501.0,428.0,91.0,26465670.2435,1334883.5701,3138215.1311,2771940.2535,4179633.3928,4847818.3993,4108443.6778,3447318.6612,2637417.067
11740520,2021,2,6.0,4761.0,3729.0,3786.0,5788.0,6662.0,5088.0,4337.0,1557.0,443.0,96.0,24690084.9925,1302616.8118,3033274.7886,2553021.3477,3889897.7099,4510816.2463,3778913.4245,3183190.7826,2438353.8663
11740520,2021,4,3.0,5026.0,3903.0,3982.0,6010.0,7059.0,5364.0,4693.0,1639.0,469.0,94.0,26838363.3656,1451118.4019,3617971.9259,2639326.2398,4154415.3843,4960331.1197,3961413.9855,3401892.6625,2651893.6579
11740520,2021,5,3.0,5049.0,3931.0,3990.0,6021.0,7158.0,5384.0,4762.0,1671.0,470.0,97.0,27534965.0246,1471083.517,3604626.2415,2729642.6424,4276870.0922,5135575.6056,4097657.1807,3469542.1778,2749967.5501
11740520,2021,6,3.0,5056.0,3944.0,3986.0,6029.0,7213.0,5393.0,4805.0,1686.0,473.0,95.0,26020059.053,1414791.3711,3506665.5964,2568324.1172,3993023.0888,4840978.405,3815854.3259,3282032.0818,2598390.0625
11740530,2021,1,9.0,2140.0,2505.0,3235.0,4150.0,4237.0,4062.0,3600.0,1623.0,562.0,109.0,22033520.3578,1658598.0466,2585857.985,2415344.0254,3207464.6663,3629205.6299,3283932.9011,2925874.9149,2327242.1993
11740530,2021,2,8.0,2136.0,2489.0,3221.0,4115.0,4237.0,4054.0,3600.0,1616.0,564.0,109.0,19671338.201,1466517.0453,2338127.0766,2152848.0414,2812636.6253,3233103.7095,2921473.892,2623418.9851,2123212.8106
11740530,2021,4,3.0,2137.0,2462.0,3194.0,4097.0,4222.0,4038.0,3641.0,1620.0,562.0,108.0,20856265.1051,1611321.4045,2566649.1246,2248627.4832,2971198.09,3413723.5507,3116964.2867,2709692.7969,2218088.3736
11740530,2021,5,3.0,2143.0,2463.0,3193.0,4066.0,4227.0,4065.0,3638.0,1628.0,568.0,107.0,21341207.4093,1634503.9588,2578991.0475,2303132.6627,3034196.7833,3508053.2659,3224754.2453,2767068.9476,2290506.4874
11740530,2021,6,3.0,2137.0,2463.0,3161.0,4049.0,4229.0,4027.0,3663.0,1625.0,567.0,109.0,20632977.9047,1623646.3419,2536347.7432,2223252.7263,2908640.0682,3340231.8056,3097165.3856,2680405.2133,2223288.5869
