년도,행정동코드,총생활인구수,연령대0_생활인구,연령대10_생활인구,연령대20_생활인구,연령대30_생활인구,연령대40_생활인구,연령대50_생활인구,연령대60_생활인구,연령대70이상_생활인구
2021,11440700,157144806.6131,10114746.3255,13259975.7512,23715685.6046,28143273.9328,28455546.0257,22168771.7706,14422374.1294,16864432.9573
2021,11440710,172184690.9185,6506561.8053,10902890.4604,42448392.3516,37611279.5442,28131042.7445,18203962.9792,13282031.6802,15098529.2402
2021,11440720,189685038.1634,10669579.7653,15830316.0529,31285899.8191,37112410.6494,36324971.2515,24706878.416,16484440.7703,17270541.4018
2021,11440730,308782885.2474,19612892.7594,27461047.739,45760421.3417,54044524.3804,54711336.3138,43325921.3758,29805097.6541,34061643.4045
2021,11440740,408848545.561,27810192.1729,37855155.343,63510516.3294,80875377.6709,86698213.0809,53492070.9877,31487960.8925,27119059.1026
2021,11470510,396357138.6925,32185628.726,66491821.3224,46055464.3522,52303455.5836,80520035.14829999,57065236.9569,33950563.6407,27784933.1616
2021,11470520,203687514.9658,14374843.2748,19824501.8825,29906760.8576,36837793.5153,31195877.2013,30104505.9479,22302222.1017,19141010.1036
2021,11470530,168512296.8014,12588799.2144,14395443.9726,22642006.6351,30027099.3709,25909436.473,25057986.3286,19708157.7455,18183367.0672
2021,11470540,163541176.3231,13964264.8583,26649465.0289,20064368.5508,19523147.5765,27517236.4009,25358983.5362,15592449.347,14871260.9855
2021,11470550,356233718.6167,35518996.6799,79480854.7991,31240607.1886,34093222.7064,69003866.8461,47683243.4637,30900375.7787,28312550.7045
2021,11470560,136521328.88840002,9130181.2464,9346072.6047,15158233.5121,20589115.6241,20885517.4411,21803126.7199,19828378.6168,19780702.9271
2021,11470570,137032867.6199,12695193.6526,12600549.2326,16020502.368299998,21444284.0765,20912209.3592,19146529.8582,17525692.3,16687906.9005
2021,11470580,120947091.9224,8643472.567499999,9788640.0826,14222689.6331,16750166.0196,18292346.0103,20601485.6408,17135509.1355,15512782.9007
2021,11470590,107359521.8819,12337978.2557,10491225.1739,10942196.6731,15234262.2633,17267427.6116,14994700.6989,13430274.4301,12661456.6648
2021,11470600,86375139.2846,8468354.4731,9169471.8989,10359853.9997,12225109.4024,13099022.2738,12884144.0127,10684007.3208,9485175.8195
2021,11470610,46107023.136,2812172.8531,4629587.2123,5148990.0359,7454037.8975,7316470.9176,7410532.511700001,6050862.0187,5284369.6885
2021,11470611,137214795.293,11593981.4506,12040729.0277,14513204.2686,18255485.3599,21871340.1958,21389034.0966,18846366.4686,18704654.5075
2021,11470620,165921786.9752,14466395.2083,26716193.3743,17509656.4316,19016040.9843,30942348.1533,25645012.1237,16598267.8234,15027872.8892
2021,11470630,119181133.4803,9408869.6711,21120291.346,12733727.2567,12861716.7979,21044347.8166,18589394.8355,12037858.3287,11384927.3758
2021,11470640,349284054.248,34144320.9991,43295620.8481,36639493.5048,46199288.9246,56978857.7465,52137801.1078,40598198.7597,39290471.7361
2021,11470650,290350640.2649,24663390.1628,28104116.8661,39246095.4137,43735950.9618,47053965.391,42695992.2332,31864974.1968,32986155.0042
2021,11470670,177705542.3177,16991054.9124,31798422.0762,16695848.1106,20169260.4458,33617793.3621,26513277.064,16812914.907899998,15106971.4323
2021,11470680,203144305.8403,18102418.9865,29357621.9216,19866549.9107,22381211.83,35109288.6787,30217816.1378,22981594.4885,25127803.7203
2021,11500510,282451026.9739,25009592.9526,27171733.8863,34063995.891,57364780.7438,53384276.0027,36226765.0869,27680336.3998,21549545.7789
2021,11500520,199244604.9542,12494000.6243,13011645.2426,33754304.9401,46962877.1502,30814675.806500003,25140994.2922,18711884.922,18354221.9877
2021,11500530,142679054.1009,12191734.6818,14395166.1997,18480731.868,24462169.2131,21295099.2783,19797209.6776,16821918.2207,15235024.8916
2021,11500535,333630880.4014,17650423.8781,27962385.819,49101640.3553,58051979.7396,51140383.3664,46721224.5526,39011411.1847,43991431.1165
2021,11500540,425563046.4323,27258091.635,23420191.7243,69242095.5151,83112425.0143,64718836.8424,57467798.6441,50353966.9505,49989639.9614
2021,11500550,116516425.2107,10557053.8305,10181607.4368,14473941.1406,18970746.7851,19690340.1978,15636901.2236,13162001.5303,13843832.9359
2021,11500560,165187484.0834,12755152.1649,15772239.0713,21007261.6069,25251911.4504,24931760.9765,22830635.208,21942921.4045,20695602.3488
2021,11500570,157103505.519,14417958.1233,13246356.0831,18416216.8736,24619190.129,25391805.3127,21790737.6065,18442238.1736,20779003.083
2021,11500590,256838856.2477,21778637.2532,19268988.9118,38829764.4658,47238336.9387,40377298.3546,31683946.9012,28967098.9288,28694784.5155
2021,11500591,180715099.8314,9851660.4241,11437460.9021,29606820.6942,32992101.8258,28700348.6537,26242037.245,22206307.4557,19678362.5758
2021,11500593,242019272.9652,15970806.3886,17103394.2093,35873351.1958,43440042.1868,39144433.0822,33645870.4427,28042706.085,28798669.4761
2021,11500603,405001529.0737,19594677.0621,23359938.9974,75689132.8184,98604890.0532,74249333.66239999,53292761.8497,35029354.5109,25181440.109
