행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수
11110650,2021,2,21,679,1340,4381,2059,2277,2329,1628,1247,645,106
11110650,2021,4,5,649,1385,4404,2045,2213,2355,1644,1245,663,99
11110650,2021,5,5,649,1362,4407,2058,2186,2328,1635,1185,659,96
11110650,2021,6,3,646,1317,4403,2044,2164,2323,1645,1183,665,96
11110650,2021,7,3,633,1315,4380,2044,2153,2337,1655,1184,661,98
11110650,2021,8,3,626,1331,4391,2044,2148,2348,1661,1181,668,98
11110650,2021,9,4,625,1341,4394,2050,2147,2365,1657,1176,672,99
11110650,2021,10,4,619,1336,4393,2036,2148,2378,1649,1177,673,102
11110650,2021,11,3,610,1302,4384,2031,2115,2382,1654,1177,672,107
11110650,2021,12,3,606,1287,4366,2015,2112,2377,1665,1172,673,107
11110670,2021,1,9,128,243,612,534,631,1109,1024,549,232,45
11110670,2021,2,9,127,239,622,530,622,1108,1039,542,238,46
11110670,2021,4,0,128,231,613,532,614,1079,1044,533,242,33
11110670,2021,5,0,131,230,611,532,598,1065,1022,512,230,34
11110670,2021,6,0,134,225,606,534,596,1055,1029,518,236,33
11110670,2021,7,0,133,224,609,531,596,1050,1032,520,238,31
11110670,2021,8,0,134,217,597,541,587,1033,1028,519,236,33
11110670,2021,9,0,138,219,602,546,587,1031,1031,517,239,33
11110670,2021,10,0,136,215,601,548,583,1023,1033,513,242,32
11110670,2021,11,0,130,218,593,546,584,1002,1030,510,244,31
11110670,2021,12,0,128,217,597,546,590,1001,1021,513,245,33
11110680,2021,1,14,236,495,1167,893,1084,1833,1396,813,312,53
11110680,2021,2,14,232,484,1162,887,1064,1821,1399,805,323,54
11110680,2021,4,5,225,465,1154,889,1035,1819,1424,792,321,46
11110680,2021,5,3,219,466,1161,878,1027,1793,1398,772,316,44
11110680,2021,6,3,220,461,1152,879,1023,1797,1403,766,311,42
11110680,2021,7,3,216,463,1148,882,1017,1792,1399,762,314,41
11110680,2021,8,3,210,456,1141,896,1006,1796,1388,769,315,41
11110680,2021,9,3,207,446,1139,892,1004,1784,1384,768,321,37
11110680,2021,10,3,208,441,1141,898,986,1792,1383,766,324,38
11110680,2021,11,0,208,437,1123,910,982,1783,1389,761,322,38
11110680,2021,12,0,203,430,1102,924,975,1775,1391,749,322,40
11110690,2021,1,12,383,528,951,955,952,1276,1014,539,240,47
11110690,2021,2,12,374,520,948,948,943,1281,1015,541,244,47
11110690,2021,4,1,368,505,946,929,923,1246,1021,511,237,40
11110690,2021,5,1,368,497,946,929,916,1240,1022,510,237,38
11110690,2021,6,1,364,492,956,926,918,1236,1033,509,238,35
11110690,2021,7,1,368,493,939,936,912,1241,1039,509,233,35
11110690,2021,8,1,364,488,932,937,910,1247,1042,509,232,37
11110690,2021,9,1,365,481,924,933,898,1239,1052,507,232,36
11110690,2021,10,1,366,478,909,939,889,1233,1052,507,232,34
11110690,2021,11,1,366,477,907,929,888,1230,1046,506,234,34
11110690,2021,12,1,359,469,905,926,881,1227,1038,501,235,33
11110700,2021,1,10,287,360,808,838,930,1143,892,538,238,37
11110700,2021,2,10,286,355,815,841,924,1142,898,538,236,38
11110700,2021,4,6,281,352,806,825,899,1145,899,532,234,35
11110700,2021,5,6,279,355,799,815,891,1148,906,525,235,34
11110700,2021,6,0,278,356,788,815,885,1142,909,512,227,30
11110700,2021,7,0,278,354,781,807,880,1136,916,513,226,32
11110700,2021,8,0,264,351,774,800,875,1129,931,506,236,31
11110700,2021,9,0,259,352,766,803,872,1132,927,498,240,32
11110700,2021,10,0,254,347,756,802,861,1139,934,499,242,33
11110700,2021,11,0,249,339,755,798,861,1148,930,498,243,34
11110700,2021,12,0,243,340,749,794,861,1147,928,504,237,34
11110710,2021,1,17,264,342,2105,1575,1262,1668,1363,757,310,54
11110710,2021,2,17,265,337,2106,1572,1259,1667,1378,750,306,53
11110710,2021,4,1,264,341,2139,1580,1251,1651,1350,707,295,35
11110710,2021,5,1,263,340,2148,1581,1235,1652,1359,705,297,35
11110710,2021,6,1,271,341,2148,1599,1231,1654,1360,710,299,35
11110710,2021,7,1,271,336,2153,1595,1229,1652,1350,714,299,37
11110710,2021,8,1,270,338,2213,1585,1221,1649,1353,724,300,37
11110710,2021,9,1,266,339,2205,1577,1205,1633,1363,723,302,36
11110710,2021,10,1,260,336,2194,1573,1210,1625,1362,722,305,35
11110710,2021,11,0,256,334,2199,1589,1197,1623,1368,719,306,36
11110710,2021,12,0,257,334,2210,1612,1179,1624,1369,715,303,36
11140520,2021,1,5,164,116,226,415,452,306,237,104,42,10
11140520,2021,2,5,165,116,226,430,465,313,233,105,44,10
11140520,2021,4,5,160,124,249,466,482,306,241,105,45,10
11140520,2021,5,2,158,124,256,470,489,299,241,106,44,11
11140520,2021,6,1,158,130,251,480,501,302,236,103,39,8
11140520,2021,7,1,157,123,250,486,493,299,241,97,40,8
11140520,2021,8,1,160,120,258,491,497,307,242,99,40,8
11140520,2021,9,1,162,120,252,499,501,309,236,101,42,8
11140520,2021,10,1,166,125,251,497,501,304,240,100,42,8
11140520,2021,11,1,172,125,251,496,509,306,239,103,41,8
11140520,2021,12,1,172,122,251,501,504,305,243,102,41,8
11140540,2021,1,43,195,192,513,530,664,958,1039,599,296,87
11140540,2021,2,45,197,194,518,528,666,967,1033,602,295,88
11140540,2021,4,45,192,200,507,533,661,945,1033,592,299,89
11140540,2021,5,1,192,198,496,528,658,943,1028,525,223,53
11140540,2021,6,1,193,203,492,528,663,934,1038,522,225,53
11140540,2021,7,1,191,205,495,530,664,927,1039,527,222,53
11140540,2021,8,1,189,209,494,537,656,925,1036,524,224,53
11140540,2021,9,2,194,214,497,536,662,924,1032,525,225,51
11140540,2021,10,2,192,212,495,530,656,914,1030,529,227,51
11140540,2021,11,1,181,214,499,529,652,906,1032,520,231,52
11140540,2021,12,2,176,213,492,520,648,891,1031,525,234,52
11140550,2021,1,9,84,125,357,393,426,494,525,320,147,28
11140550,2021,2,9,80,127,363,396,422,492,526,319,150,27
11140550,2021,4,10,84,133,361,413,425,496,524,312,151,29
11140550,2021,5,4,83,133,359,410,419,481,505,304,140,21
11140550,2021,6,4,80,131,366,397,414,484,505,304,140,22
11140550,2021,7,4,83,130,367,401,414,477,500,308,140,22
11140550,2021,8,4,81,130,374,399,418,478,502,307,137,24
11140550,2021,9,4,85,129,381,401,421,484,505,307,137,26
11140550,2021,10,3,83,127,374,407,412,486,514,304,134,30
11140550,2021,11,3,80,128,376,400,411,482,517,303,137,30
11140550,2021,12,1,83,126,384,403,406,489,519,306,139,28
11140570,2021,1,10,193,173,719,630,506,614,623,360,184,51
11140570,2021,2,10,191,174,718,633,507,608,627,359,186,50
11140570,2021,4,9,187,177,728,627,492,594,611,352,189,52
11140570,2021,5,9,186,179,737,636,494,591,617,354,189,52
11140570,2021,6,9,184,183,741,652,491,588,615,354,189,51
11140570,2021,7,9,182,187,745,664,477,589,613,355,188,52
11140570,2021,8,9,176,185,742,665,460,592,617,356,189,52
11140570,2021,9,9,173,187,742,671,464,593,619,358,191,52
11140570,2021,10,9,169,190,735,678,455,593,611,357,193,53
11140570,2021,11,9,169,192,726,679,453,591,606,352,195,50
11140570,2021,12,0,170,193,727,675,459,590,609,350,199,51
11140580,2021,1,3,179,291,1220,648,573,588,517,378,184,30
11140580,2021,2,3,183,282,1167,652,568,587,518,380,187,31
11140580,2021,4,3,181,276,1166,668,571,591,523,375,192,29
11140580,2021,5,1,179,271,1164,670,565,595,521,360,191,25
11140580,2021,6,1,179,267,1181,663,571,592,530,360,190,26
11140580,2021,7,1,180,265,1181,662,575,591,532,361,189,27
11140580,2021,8,1,177,264,1199,672,571,589,534,362,192,27
11140580,2021,9,1,179,263,1196,682,574,589,536,357,199,28
11140580,2021,10,1,179,256,1209,679,568,600,538,356,201,30
11140580,2021,11,1,177,255,1219,676,570,607,538,359,201,29
11140580,2021,12,0,170,247,1223,654,561,602,542,362,199,30
11140590,2021,1,15,131,195,944,814,644,866,864,549,207,41
11140590,2021,2,15,132,205,967,831,641,861,870,543,213,41
11140590,2021,4,15,132,196,1000,863,634,853,860,542,215,43
11140590,2021,5,2,128,190,1013,865,637,835,824,503,191,30
11140590,2021,6,2,124,193,1001,861,637,823,832,505,190,29
11140590,2021,7,2,125,189,1004,868,644,823,831,507,189,28
11140590,2021,8,2,127,184,1038,862,639,810,834,504,191,28
11140590,2021,9,2,124,185,1041,856,638,805,836,501,191,27
11140590,2021,10,2,125,179,1049,885,628,808,837,504,188,26
11140590,2021,11,2,125,180,1055,895,623,799,846,497,187,26
11140590,2021,12,1,132,179,1060,896,623,800,848,502,188,26
11140605,2021,1,11,46,36,195,303,195,319,397,208,76,22
11140605,2021,2,11,46,38,202,311,199,313,394,205,76,22
11140605,2021,4,8,43,35,196,305,197,304,395,202,71,22
11140605,2021,5,0,40,37,199,306,185,296,378,188,70,17
11140605,2021,6,0,41,37,203,306,178,295,377,185,70,17
11140605,2021,7,0,41,38,215,307,185,294,374,179,73,17
11140605,2021,8,0,37,38,220,305,183,284,381,175,74,17
11140605,2021,9,0,39,40,224,318,186,288,387,177,75,18
11140605,2021,10,0,41,39,226,322,196,282,389,171,76,17
11140605,2021,11,0,35,37,225,321,192,284,393,171,79,16
11140605,2021,12,0,32,36,232,312,184,281,391,175,78,17
11140615,2021,1,8,277,292,1334,1334,1051,1395,1045,664,255,60
11140615,2021,2,8,263,296,1349,1322,1040,1383,1051,663,260,61
11140615,2021,4,8,251,288,1357,1296,1049,1370,1072,658,262,59
11140615,2021,5,2,250,285,1347,1302,1043,1349,1059,643,251,48
11140615,2021,6,2,253,284,1350,1300,1052,1347,1061,638,252,49
11140615,2021,7,2,255,284,1343,1319,1050,1337,1067,639,253,49
11140615,2021,8,2,248,280,1343,1326,1043,1319,1079,635,254,50
11140615,2021,9,2,258,283,1355,1345,1048,1313,1097,636,253,49
11140615,2021,10,3,256,284,1358,1361,1049,1314,1099,638,259,50
11140615,2021,11,3,255,277,1354,1356,1041,1308,1111,635,263,50
11140615,2021,12,3,255,270,1373,1351,1037,1318,1108,641,267,50
11140625,2021,1,14,567,811,2377,2265,2047,2329,1981,1239,515,83
11140625,2021,2,14,552,804,2383,2236,2046,2318,1992,1228,529,80
11140625,2021,4,14,542,793,2366,2208,2030,2297,2008,1221,540,82
11140625,2021,5,10,538,790,2360,2180,2015,2282,1995,1209,533,81
11140625,2021,6,10,537,787,2335,2183,2002,2274,1997,1226,538,83
11140625,2021,7,10,531,789,2319,2203,1972,2272,1995,1235,545,82
11140625,2021,8,10,535,789,2311,2202,1966,2275,2000,1235,552,82
11140625,2021,9,10,526,780,2289,2195,1942,2274,2001,1236,562,82
11140625,2021,10,9,524,784,2277,2186,1936,2270,2005,1234,562,82
11140625,2021,11,3,510,784,2270,2198,1920,2264,2009,1231,564,85
11140625,2021,12,2,504,774,2268,2195,1899,2265,2015,1223,567,86
11140635,2021,1,9,1091,948,2015,2383,2453,2833,2686,1645,822,150
