년도,월,행정동코드,총생활인구수,연령대0,연령대10,연령대20,연령대30,연령대40,연령대50,연령대60,연령대70이상
2021,04,11350640,20220630.7181,1120972.4318,2132646.408,3275944.2399999998,2504726.782,2944009.8668,3367262.1016,2494823.1894,2380245.7089
2021,04,11350665,15097984.821,869499.5923,1268020.1929,1682619.1487,1654791.5349,2147229.4078,2524097.603,2288296.8623,2663430.526
2021,04,11350670,15340935.4233,1019771.1481999999,1590958.9946,1882332.0591,1674423.6272,2204875.0364,2507615.2842,2094334.3095,2366624.9659
2021,04,11350695,34369372.9959,2810342.842,3698013.9693,4579291.4583,4693003.7231,5235799.9449000005,5450029.2366,3807166.8974,4095724.939
2021,04,11350700,12684471.9042,1800184.1,1426618.4597,1279609.9102,2150371.0415,1838822.9831,1582756.7135,1290055.2827,1316053.4252
2021,04,11350710,11664492.7618,1117253.0038,1542584.0728,1281669.0857,1472942.0588,1749775.824,1659294.281,1429097.3169,1411877.1275
2021,04,11350720,11454398.5767,900711.2678,1281155.3154,1568038.5959,1580858.6091,1677833.1019,1804510.409,1338240.1749,1303051.1212
2021,04,11380510,23622902.614,1358862.9347,1639607.1110999999,3083062.2939,3891247.582,3713625.3679,3685967.1693,2973537.3999,3276992.776
2021,04,11380520,24287387.8746,1673047.9947,1746483.1722,3019549.5969,3346933.2534,3546888.789,3923847.8149,3108479.911,3922157.3263
2021,04,11380530,15493650.114,890317.9738,1317456.6196,2059933.964,2172557.6432,2230634.0539,2483311.2525,2045186.6302,2294251.9561
2021,04,11380551,17497301.3633,847395.1353,1507223.7325,2796684.2316,2518475.6174,2527297.1458,2745199.5718,2176233.784,2378792.1563
2021,04,11380552,17682157.3117,1238526.505,2025635.9621,2504246.0874,2413821.7807,2852847.1062,2485014.0203,1924760.4627,2237305.3621
2021,04,11380560,19278145.4406,1581334.4412,2408651.1482,2192807.7097,2507566.1384,2914013.0063,2825992.9694,2165464.68,2682315.3408
2021,04,11380570,24727792.6127,1479603.2905,1938354.5266,3505253.582,4181701.1061,3809465.0059,3778804.3446,2967449.4537,3067161.2747
2021,04,11380580,18650620.7596,1235529.6006,2050429.7407,2283720.0093,3291645.9333,3196915.7367,2553232.955,1864332.8429999999,2174813.9428
2021,04,11380590,12598668.655,1569470.2799,1190687.713,1164555.4643,2275632.8309,2349634.7578,1495852.0705,1226395.7431,1326439.8009
2021,04,11380600,16905390.2756,911223.6157,1407179.6736,2158114.5486,2677022.5342,2789730.3517,2556129.1276,2048078.1831,2357912.2126
2021,04,11380625,30825870.4768,2571712.6691,2762702.8279,3929812.5468,4612621.1626,5021053.1673,4590202.5792,3342674.4029,3995091.1739
2021,04,11380631,17308740.5324,1352211.836,1554623.3723,2221144.9592999998,2695272.9893,2681815.6211,2593416.148,2031523.7539,2178731.8106
2021,04,11380632,11207677.9035,848503.1516,1196811.9327,1328128.9456,1557398.4194,1694261.9968,1669857.584,1421893.0883,1490822.8155
2021,04,11380640,8771907.9892,572057.3715,725896.5007,1163140.8187,1270405.1475,1345916.7372,1368738.6891,1128256.3307,1197496.4338
2021,04,11380650,8866718.1403,374776.199,585920.4748,1247851.5516,1603439.2068,1481788.774,1468243.7428,1036897.6863000001,1067800.4955
