행정동_코드,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
11290715,월곡1동,0.0,84.0,159.0,256.0,2896.0,938.0
11290725,월곡2동,0.0,12.0,36.0,154.0,2171.0,666.0
11290760,장위1동,0.0,36.0,51.0,96.0,2338.0,522.0
11290770,장위2동,0.0,81.0,24.0,119.0,1708.0,148.0
11290780,장위3동,0.0,12.0,27.0,87.0,653.0,75.0
11290810,석관동,0.0,24.0,65.0,186.0,3875.0,760.0
11305534,삼양동,0.0,60.0,51.0,202.0,1670.0,496.0
11305535,미아동,168.0,102.0,259.0,229.0,5262.0,1283.0
11305545,송중동,60.0,156.0,58.0,179.0,5299.0,1117.0
11305555,송천동,12.0,48.0,24.0,120.0,4304.0,533.0
11305575,삼각산동,0.0,12.0,24.0,80.0,1513.0,365.0
11305595,번1동,60.0,276.0,77.0,130.0,4055.0,828.0
11305603,번2동,0.0,0.0,42.0,117.0,740.0,280.0
11305608,번3동,0.0,0.0,36.0,95.0,865.0,305.0
11305615,수유1동,78.0,66.0,96.0,221.0,3155.0,604.0
11305625,수유2동,0.0,72.0,101.0,134.0,2637.0,498.0
11305635,수유3동,435.0,608.0,83.0,102.0,7849.0,895.0
11305645,우이동,0.0,72.0,45.0,168.0,3357.0,473.0
11305660,인수동,51.0,0.0,36.0,206.0,2642.0,615.0
11320511,창1동,0.0,72.0,66.0,129.0,1725.0,552.0
11320512,창2동,0.0,18.0,72.0,200.0,1766.0,514.0
11320513,창3동,0.0,36.0,60.0,93.0,1700.0,291.0
11320514,창4동,252.0,60.0,120.0,179.0,1840.0,615.0
11320515,창5동,12.0,48.0,67.0,182.0,2241.0,760.0
11320521,도봉1동,0.0,84.0,60.0,228.0,3591.0,550.0
11320522,도봉2동,0.0,24.0,77.0,179.0,2246.0,489.0
11320660,쌍문1동,0.0,0.0,48.0,258.0,1398.0,584.0
11320670,쌍문2동,0.0,17.0,60.0,141.0,2000.0,614.0
