자치구,행정동,행정동_코드,1인가구_비율,연령대_2030_거주인구수_합,주요경제활동인구_생활인구수,수거함개수_당_거주인구수,SCORE,최종_스코어
구로구,개봉1동,11530740,0.31271054394069214,0.2348231212940179,0.13078173606699217,0.19844402852284837,0.43,28.47682119205298
구로구,개봉2동,11530750,0.19631908811903756,0.12370752826966783,0.04679904973405985,0.09457420026624841,0.23,15.2317880794702
구로구,오류2동,11530780,0.23965509459659443,0.2314616863646755,0.5124649065548883,0.35893447916803956,0.66,43.70860927152318
영등포구,영등포동,11560535,1.0,0.6008027106611269,0.7456704048866745,0.010560966929839433,1.2,79.47019867549669
영등포구,당산2동,11560560,0.6283712182106024,0.6679507348096756,0.4058282594667395,0.31917845233230957,1.03,68.21192052980133
영등포구,문래동,11560605,0.2664587247757491,0.24765707985424829,0.436882042448986,0.15516218745469157,0.55,36.42384105960265
동작구,노량진1동,11590510,0.5455657998362052,0.3338442714425934,0.40641596181250805,0.12191079360476609,0.71,47.019867549668874
동작구,상도1동,11590530,0.594855652764465,0.6869159506810267,0.4721957261100622,0.5740322134205009,1.16,76.82119205298012
동작구,상도2동,11590540,0.4565105488468165,0.19907762225538844,0.042270124429982237,0.0,0.35,23.178807947019866
동작구,흑석동,11590605,0.44109982303872064,0.21482930633428804,0.21647852112286592,0.1153237817817554,0.49,32.450331125827816
동작구,대방동,11590660,0.501306961466436,0.38771462762023856,0.41614878069857686,0.35317784602406777,0.82,54.3046357615894
관악구,행운동,11620575,0.8857633118693075,0.5201349952267625,0.13225156974403407,0.017220472129591657,0.79,52.317880794701985
관악구,청룡동,11620595,0.9881415003474728,0.8788269936670569,0.46899884784627843,0.24513964860483184,1.32,87.41721854304636
관악구,은천동,11620605,0.522106322841599,0.30915789332150106,0.1533688289976325,0.17663999789110152,0.58,38.41059602649006
관악구,미성동,11620765,0.41942546814349346,0.18976644750110921,0.032912679026585456,0.08069830892722973,0.36,23.841059602649008
서초구,서초3동,11650530,0.5034484043218312,0.3311013405402498,1.0,0.13661047331584686,0.99,65.56291390728477
서초구,서초4동,11650531,0.10791622981179072,0.04468691595068109,0.46374494036468106,0.08990826292688703,0.35,23.178807947019866
서초구,반포1동,11650560,0.5332666886562955,0.24035604318771614,0.30748526183763925,0.17219154068196496,0.62,41.05960264900662
서초구,양재1동,11650651,0.3433613284764517,0.39071975044707086,0.5999494943515673,0.5434564842030343,0.92,60.9271523178808
강남구,삼성2동,11680590,0.47084416979827304,0.1605017950062523,0.46855712290709806,0.04630349681688162,0.57,37.74834437086093
강남구,대치2동,11680610,0.104613246431777,0.10275234292014582,0.5517403830939371,0.2895780885473642,0.51,33.77483443708609
강남구,역삼2동,11680650,0.4443138538012513,0.22066475737162689,0.6998508190854722,0.27932357089193194,0.8,52.980132450331126
강남구,도곡2동,11680656,0.06862612536731501,0.06049910585830888,0.1718454271201103,0.1774506056492109,0.23,15.2317880794702
강남구,세곡동,11680700,0.3557896911156058,0.3895835854409532,0.35395218981641574,0.5469098050587193,0.8,52.980132450331126
송파구,오금동,11710570,0.21766735681635238,0.3314912669920535,0.282731641428432,0.37227326048847353,0.6,39.735099337748345
송파구,석촌동,11710600,0.6159412790639397,0.4367176260201955,0.30019571558547853,0.1202961683955237,0.75,49.668874172185426
송파구,삼전동,11710610,0.6107279373463795,0.39182902397375396,0.2426207276535356,0.08005245884353274,0.67,44.37086092715232
송파구,가락2동,11710632,0.18807904811148227,0.20504080782004236,0.12084203524421583,0.1453821719015671,0.33,21.85430463576159
송파구,문정2동,11710642,0.7521183467745942,0.45260376749626874,0.5769030150202535,0.018222198790019517,0.91,60.264900662251655
송파구,장지동,11710646,0.26439945477936194,0.16633724604359115,0.25158799251437525,0.03771303167301521,0.36,23.841059602649008
송파구,위례동,11710647,0.04018016579985873,0.20006588412461518,0.25360087601906045,0.21331176106183025,0.35,23.178807947019866
송파구,잠실2동,11710670,0.023774898174271093,0.04347679937611771,0.20272761863209976,0.2481777801209979,0.24,15.894039735099339
송파구,잠실3동,11710680,0.01362843936295122,0.10813736167695268,0.29939651873156903,0.21941768047555654,0.31,20.52980132450331
강동구,강일동,11740515,0.16435831991968664,0.2014911325346564,0.4314043720138917,0.2712768060736268,0.53,35.099337748344375
강동구,암사1동,11740570,0.3969912141905595,0.2533446277546961,0.1473022511907982,0.22530611975905845,0.5,33.11258278145696
강동구,천호2동,11740610,0.5585431130863046,0.337145200543208,0.46534229401671967,0.17854459660731004,0.77,50.993377483443716
강동구,길동,11740685,0.46595089576914106,0.599908568969922,0.5674313926317364,0.6300728887951597,1.12,74.17218543046357
