자치구,행정동,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,연령대_2030_거주인구수_합,연령대_2030_거주인구수_평균,연령대_20_거주인구수_비율,연령대_30_거주인구수_비율,연령대_2030_거주인구수_비율,1인가구_비율,식품접객업,주점,주요경제활동인구_거주인구수,주요경제활동인구_생활인구수,PET예측량,수거함_개수,총_거주인구수,수거함개수_당_거주인구수
은평구,구산동,11380560,19215825.3327,1474166.1275000002,2286285.425983333,2250796.1297083334,2510300.4488916667,2910526.382983333,2884402.0527083334,2205112.9079333334,2694235.8528583334,2785,3474,2828,2101,544,87,29,5.833333333333333,1557.3333333333333,2585.333333333333,4027.25,3717.75,4584.166666666667,5167.25,4346.416666666667,2502.4166666666665,1079.5833333333333,137.0,0.0,12.0,99.0,278.0,1291.0,784.0,7745.0,7745.0,0.135550481874993,0.1251332308624384,0.2606837127374314,0.2350607697501688,2464.0,12.0,17496.416666666668,10556025.014291666,80.03047505716667,0.0,29710.33333333333,29710.33333333333
은평구,응암1동,11380580,19351377.88500833,1286413.1848416666,2082339.7736666668,2328731.438966667,3452106.229083333,3299986.6608,2679505.522683333,1966977.2256083328,2255317.8491916666,3771,3122,2211,1615,353,59,14,2.9166666666666665,2227.583333333333,2435.6666666666665,4011.5833333333335,4896.833333333333,4992.25,4377.416666666667,3490.75,2109.583333333333,874.8333333333334,107.25,135.0,204.0,243.0,289.0,6574.0,1620.0,8908.416666666666,8908.416666666666,0.1358630616391962,0.1658444344095732,0.3017074960487694,0.3383580080753701,9065.0,339.0,18278.08333333333,11760329.851533337,98.23264440613336,1.0,29526.666666666668,29526.666666666668
은평구,역촌동,11380625,31447270.817675,2651083.509725,2803851.1947333333,3982835.7946,4708461.0654,5097186.027383333,4689223.012674999,3460844.7652916666,4053785.439508333,5473,5503,4090,2851,668,148,35,11.166666666666666,2297.1666666666665,3126.083333333333,5979.75,5890.75,6836.333333333333,6984.666666666667,5879.75,3517.75,1396.75,157.75,0.0,96.0,261.0,240.0,4309.0,1356.0,11870.5,11870.5,0.1421113608682305,0.1399962371394338,0.2821075980076644,0.2916133844842284,6262.0,96.0,25691.5,18477705.900058333,148.20679860023333,0.0,42077.91666666666,42077.91666666666
은평구,진관동,11380690,45897496.8057,4694834.860591667,6298414.798891666,4934818.4191333335,5951608.975758334,8022012.030241667,6315441.316266667,4762678.1284,4917688.262391667,4742,4706,4452,4506,1272,257,54,112.33333333333331,4022.75,6759.5,6360.916666666667,6067.166666666667,9550.916666666666,7831.583333333333,5945.166666666667,3170.5,1438.0,229.75,0.0,0.0,362.0,337.0,3366.0,2006.0,12428.083333333334,12428.083333333334,0.1235403317563926,0.1178351835277399,0.2413755152841325,0.2372304767622192,6071.0,0.0,29810.58333333333,25223880.741400003,165.2681729656,0.0,51488.583333333336,51488.583333333336
서대문구,연희동,11410615,27763065.640833333,1337382.0997666668,2093900.47935,6238924.807941667,4776146.288016667,4282457.732658333,3728310.545491667,2514252.8279583333,2791690.8420166667,9005,4178,2670,1920,486,109,25,13.083333333333334,1462.75,2167.4166666666665,6966.0,5094.0,4424.0,4734.333333333333,3782.1666666666665,2438.75,1215.4166666666667,182.16666666666663,12.0,60.0,248.0,256.0,4474.0,1640.0,12060.0,12060.0,0.2144698930883285,0.1568345729819043,0.3713044660702328,0.4895884303811232,6690.0,72.0,21218.33333333333,19025839.374108333,198.3462324964333,0.0,32480.08333333333,32480.08333333333
서대문구,남가좌2동,11410700,14794359.565208333,924554.092825,1410780.6711583333,2678519.446366667,2284652.1728083333,2333164.0837250003,2100037.4659166667,1460146.8825833332,1602504.7507333334,4237,3051,2413,1835,373,93,18,6.833333333333333,2416.0,2181.083333333333,3888.1666666666665,4115.166666666667,4478.166666666667,4049.3333333333335,3165.5,1992.4166666666667,901.5833333333334,126.83333333333331,0.0,12.0,66.0,126.0,2272.0,871.0,8003.333333333334,8003.333333333334,0.1423137808713051,0.1506223825921983,0.2929361634635035,0.3524958402662229,3347.0,12.0,16530.833333333332,9396373.168816669,95.10276767526666,0.0,27321.08333333333,27321.08333333333
서대문구,북가좌2동,11410720,26043611.855241667,1737848.7857916665,2409168.3236916666,3626199.931116666,3994074.4705,4133017.521691667,3772799.7377416654,2973606.0449166666,3396897.038908333,4463,3788,2752,2005,474,82,16,3.4166666666666665,1425.9166666666667,2157.4166666666665,4280.083333333333,3833.3333333333335,4486.666666666667,4909.583333333333,4313.166666666667,2664.083333333333,1095.8333333333333,141.16666666666666,0.0,60.0,93.0,81.0,1846.0,707.0,8113.416666666666,8113.416666666666,0.1460247691397898,0.1307828776782059,0.2768076468179957,0.3286450662739322,2787.0,60.0,17509.666666666664,15526091.66105,122.6895916442,0.0,29310.666666666668,29310.666666666668
마포구,공덕동,11440565,27622344.911075,1740240.835975,1872023.6149,4135963.39675,5461610.503075,4771072.519508333,4304113.784316666,2801092.72365,2536227.5346083334,6338,4328,3123,2165,461,91,20,15.75,2038.8333333333333,2053.6666666666665,5726.75,5964.083333333333,4908.833333333333,5769.833333333333,4182.833333333333,2314.583333333333,1178.9166666666667,136.83333333333334,48.0,70.0,185.0,203.0,6049.0,1647.0,11690.833333333332,11690.833333333332,0.1670048676641773,0.1739260396946713,0.3409309073588487,0.3835168824882004,8202.0,118.0,22369.5,18672760.20365,160.72939081459998,1.0,34290.916666666664,34290.916666666664
양천구,목1동,11470510,33029761.55770833,2682135.727166666,5540985.1102,3837955.3626833335,4358621.298633333,6710002.929024999,4755436.413075,2829213.636725,2315411.0968,1189,2066,3092,2999,490,88,19,3.6666666666666665,2616.9166666666665,4635.083333333333,3006.5,2893.833333333333,6211.25,4583.416666666667,2725.4166666666665,1221.1666666666667,457.1666666666667,81.41666666666667,12.0,36.0,339.0,241.0,5576.0,2917.0,5900.333333333333,5900.333333333333,0.1057292735105353,0.1017671365354745,0.2074964100460099,0.119581615206678,9121.0,48.0,16695.0,19662016.003416665,94.78873901366666,0.0,28435.83333333334,28435.83333333334
양천구,목2동,11470520,16973959.580483336,1197903.6062333337,1652041.8235416666,2492230.071466666,3069816.126275,2599656.4334416664,2508708.828991667,1858518.508475,1595084.1753,3752,3216,2652,1951,413,82,25,4.333333333333333,1506.5833333333333,2257.25,4490.833333333333,4805.583333333333,4201.833333333333,4438.416666666667,3604.0833333333335,1574.75,612.5833333333334,86.25,0.0,12.0,56.0,155.0,1969.0,590.0,9296.416666666666,9296.416666666666,0.1628145865434001,0.1742258074262062,0.3370403939696063,0.3103134562898023,2782.0,12.0,17936.666666666668,10670411.460175,93.6150458407,0.0,27582.5,27582.5
양천구,목5동,11470550,29686143.218058333,2959916.3899916667,6623404.566591666,2603383.9323833333,2841101.8922,5750322.237175,3973603.621975,2575031.314891666,2359379.225375,1185,2580,4057,4281,650,92,21,3.9166666666666665,2986.083333333333,6801.416666666667,3988.5,3487.6666666666665,8185.166666666667,6180.833333333333,3996.3333333333335,1623.75,674.3333333333334,146.91666666666666,0.0,12.0,140.0,265.0,1753.0,831.0,7476.166666666666,7476.166666666666,0.1047540047143898,0.0916001129352439,0.1963541176496337,0.0921032177833048,3001.0,12.0,21842.166666666664,15168411.683733333,76.76002173493333,1.0,38074.91666666666,38074.91666666666
양천구,신정3동,11470640,29107004.52066667,2845360.083258333,3607968.404008333,3053291.1254,3849940.7437166665,4748238.145541667,4344816.758983334,3383183.229975,3274205.9780083336,3582,4629,4035,3516,852,134,28,7.25,3342.6666666666665,5087.25,5635.25,5560.833333333333,7651.083333333333,7744.083333333333,5753.416666666667,2985.9166666666665,1125.9166666666667,172.33333333333334,0.0,129.0,101.0,310.0,1592.0,584.0,11196.083333333332,11196.083333333332,0.1250443793547242,0.1233930975310285,0.2484374768857527,0.213519313304721,2716.0,129.0,26591.25,15996286.773641665,112.61079709456666,0.0,45065.99999999999,45065.99999999999
양천구,신정4동,11470650,24195886.688741665,2055282.5135666665,2342009.7388416664,3270507.9511416666,3644662.58015,3921163.7825833336,3557999.3527666666,2655414.5164,2748846.25035,5522,3944,2718,1859,415,79,24,5.833333333333333,1432.1666666666667,2084.583333333333,4809.333333333333,4527.75,4681.75,4910.333333333333,4409.75,2451.583333333333,822.5833333333334,95.66666666666669,0.0,168.0,127.0,263.0,4599.0,1376.0,9337.083333333332,9337.083333333332,0.1590843936754361,0.1497701060709639,0.3088544997464,0.3792321955909621,6533.0,168.0,18929.166666666664,14394333.666641667,132.53848466656666,0.0,30231.33333333333,30231.33333333333
양천구,신정7동,11470680,16928692.153358333,1508534.9155416666,2446468.4934666664,1655545.8258916668,1865100.985833333,2925774.0565583333,2518151.3448166666,1915132.8740416665,2093983.6433583333,2450,2881,2727,2385,399,51,17,6.833333333333333,1733.5,3092.75,3191.75,2853.083333333333,4606.0,4770.916666666667,3732.5,1892.1666666666667,876.8333333333334,134.16666666666666,0.0,0.0,156.0,129.0,1248.0,546.0,6044.833333333333,6044.833333333333,0.118694334430375,0.1061000477244132,0.2247943821547882,0.224564619615032,2079.0,0.0,15421.75,8964572.2131,69.11703885239999,0.0,26890.5,26890.5
강서구,염창동,11500510,23537585.581158336,2084132.74605,2264311.157191667,2838666.32425,4780398.395316667,4448689.666891667,3018897.0905750003,2306694.699983333,1795795.481575,2993,3449,3949,3541,632,99,22,4.416666666666667,3682.8333333333335,4108.583333333333,5152.833333333333,6677.416666666667,6974.916666666667,5448.916666666667,3975.3333333333335,1632.6666666666667,637.5,88.66666666666667,12.0,72.0,138.0,250.0,2965.0,1014.0,11830.25,11830.25,0.1342440117322935,0.1739631661561107,0.3082071778884043,0.2038134150493701,4451.0,84.0,24254.083333333336,15086651.477033334,100.97658090813334,0.0,38384.08333333333,38384.08333333333
강서구,등촌3동,11500535,27802573.36678333,1470868.6565083333,2330198.81825,4091803.362941667,4837664.978300001,4261698.613866667,3893435.3793833335,3250950.932058333,3665952.5930416654,5335,4207,2638,1654,270,52,12,10.5,1525.5,1792.0,3609.8333333333335,4227.583333333333,3545.083333333333,4729.583333333333,4956.5,2340.1666666666665,1347.9166666666667,271.0,0.0,12.0,155.0,463.0,3549.0,1556.0,7837.416666666666,7837.416666666666,0.1273055356366158,0.1490913045011579,0.2763968401377737,0.3765527950310559,5735.0,12.0,16112.083333333332,17084602.334491666,140.76103433796666,0.0,28355.666666666668,28355.666666666668
강서구,화곡1동,11500540,35463587.20269167,2271507.63625,1951682.643691667,5770174.626258333,6926035.417858333,5393236.403533333,4788983.220341667,4196163.912541666,4165803.330116667,10238,6761,4277,2502,514,114,28,10.666666666666666,2339.583333333333,2220.083333333333,8728.333333333334,9567.5,6827.833333333333,6703.083333333333,6543.916666666667,3458.833333333333,1120.4166666666667,149.91666666666666,421.0,969.0,123.0,204.0,7045.0,1422.0,18295.833333333336,18295.833333333336,0.1830984438205586,0.2007020463532398,0.3838004901737986,0.4190063026929688,10184.0,1390.0,31826.75,22878429.667991668,230.49456867196668,0.0,47670.16666666666,47670.16666666666
강서구,화곡본동,11500590,21403238.020641662,1814886.4377666663,1605749.0759833334,3235813.7054833337,3936528.078225,3364774.862883333,2640328.908433333,2413924.9107333333,2391232.0429583336,5647,4170,2754,1946,460,75,18,4.166666666666667,1902.5833333333333,2171.1666666666665,5510.5,5831.333333333333,4997.916666666667,4434.916666666667,3987.4166666666665,1932.0833333333333,656.25,108.08333333333331,45.0,24.0,54.0,274.0,2881.0,787.0,11341.833333333332,11341.833333333332,0.1747345000620975,0.1849079239080745,0.359642423970172,0.3747179827471798,4065.0,69.0,20774.666666666668,13177445.555025,129.3678072201,0.0,31536.416666666668,31536.416666666668
강서구,발산1동,11500611,25882591.56625,2980908.129575,3843829.7585666655,2978109.848825,3373646.9429083336,4610285.616275,3506275.9214166664,2323897.040041667,2265638.307258333,2152,3244,3204,3239,740,123,31,6.166666666666667,2892.25,4466.25,4180.333333333333,3811.1666666666665,6443.416666666667,5245.166666666667,3624.4166666666665,1968.4166666666667,713.25,126.58333333333331,0.0,0.0,229.0,425.0,3163.0,1373.0,7991.5,7991.5,0.1248702483515006,0.1138429140042167,0.2387131623557173,0.1690096599387418,5190.0,0.0,19680.083333333336,14468318.329425,87.08667331769999,0.0,33477.41666666667,33477.41666666667
