자치구,PET 총량,PET 량(공공처리),PET 량(위탁),CAN 총량,CAN 량(공공처리),CAN 량(위탁),구별_총생활인구수_평균,구별_연령대0_생활인구_평균,구별_연령대10_생활인구_평균,구별_연령대20_생활인구_평균,구별_연령대30_생활인구_평균,구별_연령대40_생활인구_평균,구별_연령대50_생활인구_평균,구별_연령대60_생활인구_평균,구별_연령대70_생활인구_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,구별_연령대_100_거주인구_평균,구별_연령대0_거주인구_평균,구별_연령대10_거주인구_평균,구별_연령대20_거주인구_평균,구별_연령대30_거주인구_평균,구별_연령대40_거주인구_평균,구별_연령대50_거주인구_평균,구별_연령대60_거주인구_평균,구별_연령대70_거주인구_평균,구별_연령대80_거주인구_평균,구별_연령대90_거주인구_평균,수거함개수,투명,캔 & 투명,1인가구_비율,수거함당_평균_거주인구수,구별_연령대_거주인구_평균_합
노원구,1587.0,0.0,1587.0,958.1,0.0,958.1,234251674.86039472,18076559.050594736,28942339.05361053,31026059.941568423,28474828.187842105,36050159.79881579,35502029.1611579,27200821.28538947,28978878.390678942,2970.4210526315787,2852.684210526316,2404.2105263157896,1989.157894736842,373.7368421052632,63.63157894736842,14.31578947368421,14,30,93,189,2187,768,7.593301435406698,1662.2248803827752,2705.6076555023924,3754.8995215311006,3348.2775119617227,4392.540669856459,4588.913875598086,3670.253588516746,1964.88038277512,895.4545454545455,133.01435406698565,7,0,7,0.27843804731246447,3874.808612440191,27123.660287081337
은평구,1970.2,937.9,1032.3,654.9,422.0,232.9,238261728.53561875,17518531.03336875,22790607.61696875,30008067.6241875,35698141.4637125,38140641.4246375,35562616.20036875,27778003.7636125,30765119.36729375,3615.8125,3408.875,2529.0,1820.3125,433.0,86.6875,20.5625,62,101,132,188,2873,866,16.198863636363637,1775.1420454545455,2357.204545454545,4134.051136363636,4206.829545454545,4684.051136363636,4811.022727272727,4126.0,2423.9772727272725,1032.6079545454545,129.1875,2,0,2,0.30348637136202444,14848.136363636364,29696.272727272728
서대문구,1412.1,0.0,1412.1,524.0,0.0,524.0,258197475.33583847,12792362.4057,20263798.831011537,57080385.011865385,44457204.57856154,40309414.56144615,35378615.84631154,23301498.103988465,24614195.936657693,3561.6428571428573,2400.785714285714,1828.2142857142856,1340.642857142857,301.57142857142856,61.42857142857143,13.714285714285714,48,49,136,208,5051,1603,10.2987012987013,1384.6818181818182,1643.0324675324675,3533.337662337662,3178.824675324676,3292.935064935065,3483.9220779220777,2805.435064935065,1687.1233766233763,821.8961038961039,111.85714285714286,1,1,0,0.3745943265821263,21953.34415584415,21953.34415584415
마포구,1786.8,0.0,1786.8,717.4,0.0,717.4,249763599.6284683,15911890.448475609,19602946.682163417,47382307.59790244,48050266.13621219,43120006.56862927,32679896.223117072,21449135.441639025,21567150.547017075,3948.25,2535.5625,1843.125,1357.875,290.875,53.1875,13.6875,53,66,172,157,6075,1373,9.028409090909092,1509.8352272727273,1751.5056818181818,3856.409090909091,3992.090909090909,3771.9375,3413.744318181818,2533.6988636363635,1482.0852272727273,706.1931818181818,100.46022727272728,31,31,0,0.39315164829693616,746.0318914956011,23126.988636363636
양천구,1567.8,0.0,1567.8,789.6,0.0,789.6,186970948.6973389,16227239.844033334,25294479.370583333,21053680.48351111,24950036.074466664,32140965.94595556,27738822.404116668,20380481.522727776,19185242.97716112,2190.8888888888887,2394.555555555556,2250.1666666666665,1932.7222222222224,374.6111111111111,66.38888888888889,15.166666666666666,3,47,93,161,2106,656,5.095959595959595,1693.3939393939393,2774.575757575758,3248.7878787878785,3143.494949494949,4308.868686868687,4234.126262626263,3303.3838383838383,1606.4949494949497,614.7777777777778,93.95959595959596,9,0,9,0.23750760354370304,2780.773288439955,25026.959595959597
강서구,1706.3,1080.8,625.5,909.0,370.6,538.4,261905891.8017788,22831027.99215152,22332772.01655757,35797894.63643031,47569026.99365757,44097299.6504606,35728960.83295152,27667210.402857576,25881699.268660605,4308.6,3258.75,2386.05,1779.9,383.65,70.8,17.1,68,82,157,260,3637,1121,5.972727272727273,1895.236363636364,2197.159090909091,4321.954545454546,4912.486363636363,4499.409090909091,4242.5,3921.418181818181,1954.9136363636364,762.6909090909091,125.3909090909091,23,19,4,0.35302359307980025,1253.8752964426876,28839.131818181817
구로구,1644.9,1158.2,486.7,761.0,416.3,344.7,235660739.21182945,19073860.427929413,18849728.73777647,30308150.96178824,40213801.13882353,40068920.58508823,34807379.538899995,26822368.601017646,25516529.18594706,3185.6875,2844.875,2165.3125,1609.1875,359.75,72.5,17.875,24,68,96,224,3228,778,4.787878787878787,1599.6909090909091,1883.6666666666667,3529.5333333333333,3862.260606060606,3940.872727272728,4048.036363636364,3696.10303030303,2080.9757575757576,779.9878787878788,98.34545454545454,5,0,5,0.3106415655491428,5104.852121212121,25524.26060606061
금천구,811.7,0.0,811.7,332.2,0.0,332.2,191544411.19141,9676037.96839,11042999.92652,30525498.99892,37054965.61921,32747561.0456,30668359.53841,21635636.228600003,18193351.86721,4233.4,2633.1,1822.6,1286.3,291.3,59.2,16.9,59,87,80,230,3444,906,6.890909090909091,1198.3545454545454,1424.3727272727272,3715.045454545456,3588.972727272728,3210.672727272727,3957.6272727272726,3407.6818181818185,1794.5636363636363,672.4272727272727,87.13636363636364,14,0,14,0.4093088912093437,1647.41038961039,23063.74545454546
영등포구,1974.0,1615.3,358.7,732.3,427.7,304.6,277167878.9573467,16086740.955837777,16002825.109508889,47003885.857597776,60934067.83345112,48158181.71646222,39062303.74031111,26762147.50863112,23157726.24446,3555.555555555556,2273.6666666666665,1687.2777777777778,1202.8333333333333,240.0555555555556,50.888888888888886,11.22222222222222,241,227,145,241,5523,1722,5.904040404040404,1405.560606060606,1326.9949494949497,3281.2878787878785,3851.984848484849,3103.20202020202,3133.181818181818,2656.5353535353534,1499.1212121212122,648.0909090909091,84.67171717171716,12,12,0,0.3941202189830467,1749.7112794612794,20996.535353535353
동작구,1550.2,0.0,1550.2,734.1,0.0,734.1,238242361.6866277,16311635.107094444,18580671.34561111,44338187.17106667,39123387.78626111,35423637.712294444,31870330.13395556,25591995.744327776,27002516.651894443,4273.4,2765.9333333333334,2127.866666666667,1588.6,343.53333333333336,69.6,15.066666666666666,44,36,116,179,2841,903,11.842424242424244,1577.909090909091,1818.5636363636363,4364.866666666667,4093.412121212121,3859.5272727272727,3867.0,3339.2909090909093,1979.581818181818,820.1818181818182,118.53333333333332,16,0,16,0.3820994277539341,1615.6693181818182,25850.70909090909
관악구,2877.2,0.0,2877.2,1160.1,0.0,1160.1,195641779.49521905,9750590.03297619,13071000.054290475,43833062.04942857,36245986.69877143,28129074.06072857,24679599.48155238,19282880.06502381,20649587.06378572,6205.227272727273,2668.590909090909,1598.090909090909,1099.6818181818182,247.63636363636363,53.31818181818182,11.818181818181818,125,67,109,138,3493,880,6.670995670995671,992.3809523809524,1321.991341991342,5171.12987012987,4087.60606060606,3176.398268398268,3204.2943722943724,2844.878787878788,1750.6450216450216,651.7922077922078,79.28571428571429,10,10,0,0.5221337433449604,2328.707359307359,23287.073593073594
서초구,776.5,0.0,776.5,888.9,0.0,888.9,289261012.21846086,21477656.746095654,25055388.58847826,39574427.75020435,52423160.48451739,55821626.78688696,41573755.953,28264859.425847825,25070136.46351739,2441.222222222222,2159.277777777778,1935.555555555556,1671.7222222222222,366.27777777777777,78.44444444444444,20.77777777777778,45,77,182,238,4647,1610,7.51010101010101,1809.030303030303,2491.69696969697,2968.373737373737,3394.974747474748,4225.580808080808,3497.5,2671.843434343434,1506.919191919192,557.0909090909091,98.03535353535354,18,18,0,0.28146478007161196,1290.4753086419753,23228.555555555555
강남구,2680.0,0.0,2680.0,1897.7,0.0,1897.7,296939198.7486226,20940284.602883868,30653910.9015871,43153974.64753871,54798382.80600968,56312864.25364516,39242833.51708709,27129539.56916774,24707408.36321613,3088.9565217391305,2316.304347826087,1915.0434782608693,1620.5217391304348,336.3478260869565,64.69565217391305,16.130434782608695,90,118,223,231,5771,1807,7.380165289256198,1610.495867768595,2672.537190082645,3263.657024793388,3594.235537190083,4458.074380165289,3677.685950413223,2756.2768595041325,1562.074380165289,555.900826446281,101.38429752066116,19,19,0,0.33008725387252946,1276.826446280992,24259.70247933885
송파구,2382.6,0.0,2382.6,1266.5,0.0,1266.5,247406514.88682663,20632298.62646667,23200268.98788,32589967.53784333,44135390.688716665,42650712.84392,35636169.22948,26691309.85829667,21870397.03259,2729.4074074074074,2463.074074074074,2118.111111111112,1729.7407407407406,350.25925925925924,66.77777777777777,15.444444444444445,38,62,113,167,2761,958,5.279461279461279,1812.1313131313127,2147.313131313131,3407.107744107744,3989.164983164983,3990.821548821549,3762.3872053872055,3195.505050505051,1514.4983164983164,539.9326599326599,93.25925925925924,8,2,6,0.28813055683710886,3057.175084175084,24457.400673400673
강동구,2886.3,0.0,2886.3,988.1,0.0,988.1,244825051.7662056,19658075.47718889,24327748.833583336,28516119.98025,38012653.71415,40519803.38584444,36576133.869444445,30115754.36257222,27098762.12401111,2795.333333333333,2652.055555555556,2191.5,1747.5,369.94444444444446,68.94444444444444,15.666666666666666,89,60,103,181,2612,748,7.919786096256684,1740.2727272727273,2023.2566844919788,3324.0641711229946,3850.807486631016,3938.636363636364,3873.9732620320856,3550.465240641712,1719.106951871658,605.9786096256685,101.42245989304811,9,3,6,0.28405132750357065,2748.433749257279,24735.90374331551
