자치구,행정동,행정동_코드,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구
강서구,염창동,11500510,2993,3449,3949,3541,632,99,22
강서구,등촌1동,11500520,6021,2753,1739,1196,206,33,10
강서구,등촌2동,11500530,2147,2279,1880,1412,321,51,22
강서구,등촌3동,11500535,5335,4207,2638,1654,270,52,12
강서구,화곡본동,11500590,5647,4170,2754,1946,460,75,18
강서구,화곡2동,11500550,2322,2206,1605,1072,292,46,9
강서구,화곡3동,11500560,2282,2433,1849,1360,353,78,23
강서구,화곡4동,11500570,2969,2601,1797,1207,281,40,16
강서구,화곡6동,11500591,4182,2846,1982,1407,297,68,11
강서구,화곡8동,11500593,3346,3343,2167,1411,299,58,15
강서구,가양1동,11500603,11023,3431,2146,1535,325,64,14
강서구,가양2동,11500604,3623,2274,1027,470,106,23,6
강서구,가양3동,11500605,2925,2553,1289,551,117,22,0
강서구,발산1동,11500611,2152,3244,3204,3239,740,123,31
강서구,공항동,11500620,4329,2906,2118,1618,376,78,10
강서구,방화1동,11500630,3791,4239,3807,3347,833,139,30
강서구,방화2동,11500640,4206,2791,1722,1111,290,76,16
강서구,방화3동,11500641,3815,3142,1898,1191,253,49,16
강서구,화곡1동,11500540,10238,6761,4277,2502,514,114,28
강서구,우장산동,11500615,2826,3547,3873,3828,708,128,33
구로구,신도림동,11530510,2324,3286,3478,2969,552,100,18
구로구,구로1동,11530520,1822,2079,1929,1707,308,61,7
구로구,구로3동,11530540,6197,2625,1688,1198,261,49,23
구로구,구로4동,11530550,3764,2750,1681,984,195,37,15
구로구,구로5동,11530560,5350,3468,2366,1612,344,75,19
구로구,고척1동,11530720,2216,2481,1992,1683,342,77,11
구로구,고척2동,11530730,2916,2989,2341,1919,395,94,22
구로구,개봉2동,11530750,2373,3521,3004,2208,480,110,22
구로구,개봉3동,11530760,1860,2565,1944,1340,294,58,12
구로구,오류1동,11530770,4624,2786,1710,1094,263,48,22
구로구,오류2동,11530780,3258,4256,3141,2767,770,136,32
구로구,수궁동,11530790,2086,2881,2188,1463,362,85,22
구로구,가리봉동,11530595,2849,1168,518,275,70,15,6
구로구,구로2동,11530530,4383,3239,2021,1134,318,75,19
구로구,개봉1동,11530740,3591,4018,3040,2106,521,99,26
구로구,항동,11530800,1358,1406,1604,1288,281,41,10
금천구,가산동,11545510,9775,2339,1133,684,156,30,7
금천구,독산1동,11545610,8983,4434,3212,2431,513,82,36
금천구,독산2동,11545620,3209,2287,1595,1024,228,52,13
금천구,독산3동,11545630,4413,3038,2024,1241,271,62,22
금천구,독산4동,11545640,2608,1868,1270,854,202,44,12
금천구,시흥1동,11545670,5285,3873,2758,1987,431,78,27
금천구,시흥2동,11545680,1592,2272,1872,1586,386,100,17
금천구,시흥3동,11545690,1142,1372,978,684,167,25,0
금천구,시흥4동,11545700,2417,2427,1782,1297,294,67,20
금천구,시흥5동,11545710,2910,2421,1602,1075,265,52,15
영등포구,여의동,11560540,2672,3355,3038,2293,451,102,25
영등포구,당산1동,11560550,4125,2441,1660,1001,214,57,10
영등포구,당산2동,11560560,7461,3698,2913,2181,387,88,20
영등포구,양평1동,11560610,3721,2154,1336,816,162,39,9
영등포구,양평2동,11560620,3391,2423,1889,1415,263,45,8
영등포구,신길1동,11560630,4995,2004,1164,715,172,35,11
영등포구,신길3동,11560650,2205,1825,1484,1076,228,36,7
영등포구,신길4동,11560660,1475,1187,863,594,124,20,0
영등포구,신길5동,11560670,1386,1227,950,677,149,28,5
영등포구,신길6동,11560680,2980,1967,1480,938,197,40,16
영등포구,신길7동,11560690,1599,1843,1797,1615,302,60,6
영등포구,대림1동,11560700,2269,1760,1217,869,169,39,8
영등포구,대림2동,11560710,2783,1658,941,527,109,36,12
영등포구,대림3동,11560720,2970,2771,2030,1359,288,78,14
영등포구,영등포본동,11560515,3226,2257,1781,1335,284,42,17
영등포구,영등포동,11560535,10170,2843,1444,865,173,34,10
영등포구,도림동,11560585,3625,2297,1405,886,207,44,10
영등포구,문래동,11560605,2947,3216,2979,2489,442,93,14
동작구,노량진2동,11590520,3064,1523,836,502,132,28,0
동작구,상도1동,11590530,8604,4448,3680,2764,554,92,25
동작구,상도2동,11590540,4013,2877,2327,1823,379,70,15
동작구,상도3동,11590550,4214,2847,2004,1421,319,75,22
동작구,상도4동,11590560,4618,3266,2405,1712,385,75,19
동작구,사당1동,11590620,6345,2892,1571,976,216,37,13
동작구,사당3동,11590640,2583,2578,2244,1674,351,74,18
